"address_code","state","city","section","street","area_code","postal_code","number_of_household","number_of_people","remarks","polygon"
"041020003003","宮城県","仙台市宮城野区","燕沢三丁目","","","","","","",""
"041020004001","宮城県","仙台市宮城野区","燕沢東一丁目","","","","","","",""
"041020004002","宮城県","仙台市宮城野区","燕沢東二丁目","","","","","","",""
"041020004003","宮城県","仙台市宮城野区","燕沢東三丁目","","","","","","",""
"041020005000","宮城県","仙台市宮城野区","岡田字稲荷前","","","","","","",""
"041020006000","宮城県","仙台市宮城野区","岡田字岡田","","","","","","",""
"041020007000","宮城県","仙台市宮城野区","岡田字砂山","","","","","","",""
"041020008000","宮城県","仙台市宮城野区","岡田字寺袋浦","","","","","","",""
"041020009000","宮城県","仙台市宮城野区","岡田字南帆海房","","","","","","",""
"041020010000","宮城県","仙台市宮城野区","岡田字浜通","","","","","","",""
"041020011000","宮城県","仙台市宮城野区","岡田西町","","","","","","",""
"041020012000","宮城県","仙台市宮城野区","蟹沢","","","","","","",""
"041020013001","宮城県","仙台市宮城野区","蒲生一丁目","","","","","","",""
"041020013002","宮城県","仙台市宮城野区","蒲生二丁目","","","","","","",""
"041020014000","宮城県","仙台市宮城野区","蒲生字荻袋","","","","","","",""
"041020015000","宮城県","仙台市宮城野区","蒲生字原屋敷","","","","","","",""
"041020016000","宮城県","仙台市宮城野区","蒲生字耳取","","","","","","",""
"041020017000","宮城県","仙台市宮城野区","蒲生字竹ノ内","","","","","","",""
"041020018000","宮城県","仙台市宮城野区","蒲生字鍋沼","","","","","","",""
"041020019000","宮城県","仙台市宮城野区","蒲生字蓬田前","","","","","","",""
"041020020001","宮城県","仙台市宮城野区","岩切一丁目","","","","","","",""
"041020020002","宮城県","仙台市宮城野区","岩切二丁目","","","","","","",""
"041020020003","宮城県","仙台市宮城野区","岩切三丁目","","","","","","",""
"041020021000","宮城県","仙台市宮城野区","岩切字今市","","","","","","",""
"041020022000","宮城県","仙台市宮城野区","岩切字三所北","","","","","","",""
"041020023000","宮城県","仙台市宮城野区","岩切字若宮前","","","","","","",""
"041020024000","宮城県","仙台市宮城野区","岩切字新宿","","","","","","",""
"041020025000","宮城県","仙台市宮城野区","岩切字水分","","","","","","",""
"041020026000","宮城県","仙台市宮城野区","岩切字台屋敷","","","","","","",""
"041020027000","宮城県","仙台市宮城野区","岩切字洞ケ沢","","","","","","",""
"041020028000","宮城県","仙台市宮城野区","岩切字洞ノ口","","","","","","",""
"041020029000","宮城県","仙台市宮城野区","岩切字入山","","","","","","",""
"041020030000","宮城県","仙台市宮城野区","岩切字畑中","","","","","","",""
"041020031000","宮城県","仙台市宮城野区","岩切字余目","","","","","","",""
"041020032001","宮城県","仙台市宮城野区","宮城野一丁目","","","","","","",""
"041020032002","宮城県","仙台市宮城野区","宮城野二丁目","","","","","","",""
"041020032003","宮城県","仙台市宮城野区","宮城野三丁目","","","","","","",""
"041020033001","宮城県","仙台市宮城野区","宮千代一丁目","","","","","","",""
"041020033002","宮城県","仙台市宮城野区","宮千代二丁目","","","","","","",""
"041020033003","宮城県","仙台市宮城野区","宮千代三丁目","","","","","","",""
"041020034000","宮城県","仙台市宮城野区","銀杏町","","","","","","",""
"041020035001","宮城県","仙台市宮城野区","苦竹一丁目","","","","","","",""
"041020035002","宮城県","仙台市宮城野区","苦竹二丁目","","","","","","",""
"041020035003","宮城県","仙台市宮城野区","苦竹三丁目","","","","","","",""
"041020035004","宮城県","仙台市宮城野区","苦竹四丁目","","","","","","",""
"041020036000","宮城県","仙台市宮城野区","元寺小路","","","","","","",""
"041020037001","宮城県","仙台市宮城野区","原町一丁目","","","","","","",""
"041020037002","宮城県","仙台市宮城野区","原町二丁目","","","","","","",""
"041020037003","宮城県","仙台市宮城野区","原町三丁目","","","","","","",""
"041020037004","宮城県","仙台市宮城野区","原町四丁目","","","","","","",""
"041020037005","宮城県","仙台市宮城野区","原町五丁目","","","","","","",""
"041020037006","宮城県","仙台市宮城野区","原町六丁目","","","","","","",""
"041020038001","宮城県","仙台市宮城野区","五輪一丁目","","","","","","",""
"041020038002","宮城県","仙台市宮城野区","五輪二丁目","","","","","","",""
"041020039001","宮城県","仙台市宮城野区","幸町一丁目","","","","","","",""
"041020039002","宮城県","仙台市宮城野区","幸町二丁目","","","","","","",""
"041020039003","宮城県","仙台市宮城野区","幸町三丁目","","","","","","",""
"041020039004","宮城県","仙台市宮城野区","幸町四丁目","","","","","","",""
"041020039005","宮城県","仙台市宮城野区","幸町五丁目","","","","","","",""
"041020040001","宮城県","仙台市宮城野区","港一丁目","","","","","","",""
"041020040002","宮城県","仙台市宮城野区","港二丁目","","","","","","",""
"041020040003","宮城県","仙台市宮城野区","港三丁目","","","","","","",""
"041020040004","宮城県","仙台市宮城野区","港四丁目","","","","","","",""
"041020040005","宮城県","仙台市宮城野区","港五丁目","","","","","","",""
"041020041001","宮城県","仙台市宮城野区","高砂一丁目","","","","","","",""
"041020041002","宮城県","仙台市宮城野区","高砂二丁目","","","","","","",""
"041020042000","宮城県","仙台市宮城野区","自由ケ丘","","","","","","",""
"041020043000","宮城県","仙台市宮城野区","車町","","","","","","",""
